页面名称,页面,名称,描述,是否需要设计,优先级,现在用的
电商解决方案,solution-ecommerce.html,solution-pic-3-1.png,电商数据协同流转方案详情页,需要,P1 方案详情模板,当前使用方案总览图与统一详情模板
教育解决方案,solution-education.html,solution-pic-4-1.png,智慧教育协同文档平台方案详情页,需要,P1 方案详情模板,当前使用方案总览图与统一详情模板
公司管理解决方案,solution-management.html,solution-pic-5-1.png,公司全员协同管理方案详情页,需要,P1 方案详情模板,当前使用方案总览图与统一详情模板
产研协同解决方案,solution-product-rd.html,solution-pic-6-1.png,产研协同一体化方案详情页,需要,P1 方案详情模板,当前使用方案总览图与统一详情模板
市场营销解决方案,solution-marketing.html,solution-pic-7-1.png,多方协同市场活动管理方案详情页,需要,P1 方案详情模板,当前使用方案总览图与统一详情模板
人力资源解决方案,solution-hr.html,solution-pic-8-1.png,人力资源协同方案详情页,需要,P1 方案详情模板,当前使用方案总览图与统一详情模板
财务管理解决方案,solution-finance.html,solution-pic-9-1.png,财务协同管理方案详情页,需要,P1 方案详情模板,当前使用方案总览图与统一详情模板
销售管理解决方案,solution-sales.html,solution-pic-10-1.png,销售全流程协同管理方案详情页,需要,P1 方案详情模板,当前使用方案总览图与统一详情模板
隐私政策,privacy.html,无独立主视觉,法务合规页，说明隐私与数据处理规则,不需要,P3 合规页,当前以正文信息为主
服务条款,service.html,无独立主视觉,法务合规页，说明服务范围与权责约定,不需要,P3 合规页,当前以正文信息为主
行为规范,behavior.html,无独立主视觉,法务合规页，说明平台内容和使用行为边界,不需要,P3 合规页,当前以正文信息为主
